mu,sigma^2,energy,err
0.608205,0.682107,-0.303479,0.000648507
0.608205,0.682107,-0.303479,0.000648507
0.608205,0.682107,-0.303479,0.000648507
0.608205,0.682107,-0.303479,0.000648507
0.608205,0.682107,-0.303479,0.000648507
0.599661,0.677863,-0.301897,0.000542342
0.814379,0.448775,-0.423999,0.000467662
0.814379,0.448775,-0.423999,0.000467662
0.773795,0.373634,-0.441643,0.000220593
0.773795,0.373634,-0.441643,0.000220593
0.773795,0.373634,-0.441643,0.000220593
0.773795,0.373634,-0.441643,0.000220593
0.773795,0.373634,-0.441643,0.000220593
0.696873,0.353871,-0.403216,0.000235797
0.696873,0.353871,-0.403216,0.000235797
0.672145,0.527563,-0.366629,0.000460096
0.887449,0.385048,-0.414052,0.000356946
0.887449,0.385048,-0.414052,0.000356946
0.90333,0.410252,-0.394563,0.000436177
0.90333,0.410252,-0.394563,0.000436177
0.90333,0.410252,-0.394563,0.000436177
0.90333,0.410252,-0.394563,0.000436177
0.786152,0.295157,-0.393397,0.00045654
0.786152,0.295157,-0.393397,0.00045654
0.786152,0.295157,-0.393397,0.00045654
0.786152,0.295157,-0.393397,0.00045654
0.786152,0.295157,-0.393397,0.00045654
0.786152,0.295157,-0.393397,0.00045654
0.786152,0.295157,-0.393397,0.00045654
0.786152,0.295157,-0.393397,0.00045654
0.786152,0.295157,-0.393397,0.00045654
0.786152,0.295157,-0.393397,0.00045654
0.786152,0.295157,-0.393397,0.00045654
0.786152,0.295157,-0.393397,0.00045654
0.786152,0.295157,-0.393397,0.00045654
0.786152,0.295157,-0.393397,0.00045654
0.786152,0.295157,-0.393397,0.00045654
0.93938,0.386392,-0.364975,0.000479471
0.93938,0.386392,-0.364975,0.000479471
0.93938,0.386392,-0.364975,0.000479471
0.93938,0.386392,-0.364975,0.000479471
0.93938,0.386392,-0.364975,0.000479471
0.93938,0.386392,-0.364975,0.000479471
0.766279,0.528366,-0.383419,0.000521284
0.766279,0.528366,-0.383419,0.000521284
0.766279,0.528366,-0.383419,0.000521284
0.766279,0.528366,-0.383419,0.000521284
0.669067,0.411055,-0.386657,0.0002823
0.669067,0.411055,-0.386657,0.0002823
0.669067,0.411055,-0.386657,0.0002823
0.669067,0.411055,-0.386657,0.0002823
0.669067,0.411055,-0.386657,0.0002823
0.824052,0.44593,-0.42223,0.000420026
