mu,sigma^2,energy,err
0.398856,1.09968,-0.190975,0.00126833
0.398856,1.09968,-0.190975,0.00126833
0.243236,1.1511,-0.208141,0.00108328
0.30672,1.12847,-0.205501,0.00125298
0.138775,1.29122,-0.16056,0.00167101
0.324551,1.1201,-0.202866,0.00133255
0.324551,1.1201,-0.202866,0.00133255
0.324551,1.1201,-0.202866,0.00133255
0.324551,1.1201,-0.202866,0.00133255
0.324551,1.1201,-0.202866,0.00133255
0.209378,1.29994,-0.13914,0.00156617
0.0096847,1.07033,-0.246405,0.000859513
0.0096847,1.07033,-0.246405,0.000859513
0.0096847,1.07033,-0.246405,0.000859513
0.121927,1.24731,-0.185029,0.00134222
0.0175861,1.17438,-0.220366,0.0010639
0.0077256,1.26505,-0.185936,0.00131691
0.126497,1.16453,-0.216566,0.00132146
0.204138,1.103,-0.229896,0.000903691
0.0351967,0.960793,-0.249209,0.000628913
0.0351967,0.960793,-0.249209,0.000628913
0.0351967,0.960793,-0.249209,0.000628913
0.0351967,0.960793,-0.249209,0.000628913
0.239361,1.06857,-0.234758,0.000980795
0.253995,1.11401,-0.219926,0.00115592
0.164566,0.98661,-0.249105,0.000722853
0.248411,1.17965,-0.195124,0.00119617
0.248411,1.17965,-0.195124,0.00119617
0.248411,1.17965,-0.195124,0.00119617
0.248411,1.17965,-0.195124,0.00119617
0.248411,1.17965,-0.195124,0.00119617
0.115334,1.04426,-0.246674,0.000776141
0.0618523,0.828326,-0.221492,0.000595153
0.0618523,0.828326,-0.221492,0.000595153
0.0739671,0.824621,-0.219485,0.000458095
0.132593,0.855293,-0.233409,0.000657294
0.00319884,0.874437,-0.233287,0.000620435
0.187518,0.890714,-0.245082,0.000621381
0.339506,0.987948,-0.241385,0.00102388
0.408756,0.793039,-0.259744,0.000616174
0.408756,0.793039,-0.259744,0.000616174
0.408756,0.793039,-0.259744,0.000616174
0.312192,0.944562,-0.251372,0.00081305
0.296053,0.902347,-0.253145,0.00067319
0.296053,0.902347,-0.253145,0.00067319
0.543009,0.899009,-0.231713,0.00114346
0.543009,0.899009,-0.231713,0.00114346
0.430224,0.935947,-0.245826,0.000996898
0.430224,0.935947,-0.245826,0.000996898
0.402405,0.87254,-0.256256,0.000716091
0.402405,0.87254,-0.256256,0.000716091
0.402405,0.87254,-0.256256,0.000716091
0.402405,0.87254,-0.256256,0.000716091
0.402405,0.87254,-0.256256,0.000716091
0.294811,0.682325,-0.19755,0.000524204
0.294811,0.682325,-0.19755,0.000524204
0.294811,0.682325,-0.19755,0.000524204
0.112189,0.841414,-0.227921,0.000584457
0.0355978,1.01721,-0.250243,0.000726593
0.0355978,1.01721,-0.250243,0.000726593
0.0355978,1.01721,-0.250243,0.000726593
0.114826,0.952849,-0.24901,0.000692959
0.193892,1.11673,-0.228138,0.00106869
0.281464,1.13779,-0.205209,0.00133261
0.281464,1.13779,-0.205209,0.00133261
0.115581,1.01191,-0.249172,0.000804769
0.165484,0.899709,-0.245212,0.000609846
0.0743288,0.775581,-0.199605,0.000417669
0.286724,0.78156,-0.234429,0.000628715
0.286724,0.78156,-0.234429,0.000628715
0.0533628,0.774174,-0.196766,0.000502174
0.256006,0.83121,-0.239909,0.000633133
0.210429,1.02111,-0.247021,0.000819139
0.210429,1.02111,-0.247021,0.000819139
